Batch_ID,Date,Raw_Material,Processing_Center,Inbound_Weight_KG,Processing_Waste_KG,Net_Yield_KG,Financial_Loss_INR
HS-BATCH-1028,2026-05-02,Turmeric,Center-B,2975,259,2716,12950
HS-BATCH-1029,2026-05-02,Nutraceutical Base,Center-C,3362,234,3128,29250
HS-BATCH-1030,2026-05-02,Nutraceutical Base,Center-A,1876,84,1792,10500
HS-BATCH-1031,2026-05-02,Ginger,Center-A,4812,480,4332,19200
HS-BATCH-1032,2026-05-02,Ginger,Center-A,4448,524,3924,20960
HS-BATCH-1033,2026-05-02,Nutraceutical Base,Center-A,2312,140,2172,17500
HS-BATCH-1034,2026-05-02,Turmeric,Center-C,2460,138,2322,6900
HS-BATCH-1035,2026-05-02,Turmeric,Center-B,3709,306,3403,15300
HS-BATCH-1036,2026-05-02,Ginger,Center-A,3324,303,3021,12120
HS-BATCH-1037,2026-05-02,Nutraceutical Base,Center-B,2733,127,2606,15875
HS-BATCH-1038,2026-05-02,Ginger,Center-C,2605,278,2327,11120
HS-BATCH-1039,2026-05-02,Ginger,Center-C,3563,390,3173,15600
HS-BATCH-1040,2026-05-02,Herbal Extract,Center-C,4421,633,3788,94950
HS-BATCH-1041,2026-05-02,Herbal Extract,Center-A,4517,558,3959,83700
HS-BATCH-1042,2026-05-02,Herbal Extract,Center-B,3397,526,2871,78900
HS-BATCH-1043,2026-05-02,Turmeric,Center-B,4735,287,4448,14350
HS-BATCH-1044,2026-05-02,Nutraceutical Base,Center-B,3870,169,3701,21125
HS-BATCH-1045,2026-05-02,Nutraceutical Base,Center-C,2160,143,2017,17875
HS-BATCH-1046,2026-05-02,Nutraceutical Base,Center-A,5854,401,5453,50125
HS-BATCH-1047,2026-05-02,Nutraceutical Base,Center-C,1242,81,1161,10125
HS-BATCH-1048,2026-05-02,Herbal Extract,Center-C,3590,547,3043,82050
HS-BATCH-1049,2026-05-03,Turmeric,Center-B,2063,157,1906,7850
HS-BATCH-1050,2026-05-03,Turmeric,Center-C,5324,383,4941,19150
HS-BATCH-1051,2026-05-03,Herbal Extract,Center-B,3595,443,3152,66450
HS-BATCH-1052,2026-05-03,Turmeric,Center-A,1919,127,1792,6350
HS-BATCH-1053,2026-05-03,Herbal Extract,Center-B,1005,135,870,20250
HS-BATCH-1054,2026-05-03,Nutraceutical Base,Center-A,1467,70,1397,8750
HS-BATCH-1055,2026-05-03,Herbal Extract,Center-B,5170,770,4400,115500
HS-BATCH-1056,2026-05-03,Nutraceutical Base,Center-C,1003,55,948,6875
HS-BATCH-1057,2026-05-03,Nutraceutical Base,Center-C,1645,69,1576,8625
HS-BATCH-1058,2026-05-03,Ginger,Center-A,1117,101,1016,4040
HS-BATCH-1059,2026-05-03,Herbal Extract,Center-A,3928,578,3350,86700
HS-BATCH-1060,2026-05-03,Ginger,Center-A,3551,297,3254,11880
HS-BATCH-1061,2026-05-03,Herbal Extract,Center-B,5289,814,4475,122100
HS-BATCH-1062,2026-05-03,Herbal Extract,Center-B,1846,258,1588,38700
HS-BATCH-1063,2026-05-03,Ginger,Center-A,3762,391,3371,15640
HS-BATCH-1064,2026-05-03,Ginger,Center-C,2141,234,1907,9360
HS-BATCH-1065,2026-05-03,Herbal Extract,Center-B,2810,429,2381,64350
HS-BATCH-1066,2026-05-03,Turmeric,Center-B,1723,110,1613,5500
HS-BATCH-1067,2026-05-03,Nutraceutical Base,Center-B,1224,73,1151,9125
HS-BATCH-1068,2026-05-03,Ginger,Center-A,5627,609,5018,24360
HS-BATCH-1069,2026-05-03,Nutraceutical Base,Center-A,5208,250,4958,31250
HS-BATCH-1070,2026-05-03,Turmeric,Center-A,5654,481,5173,24050
HS-BATCH-1071,2026-05-03,Turmeric,Center-A,3048,249,2799,12450
HS-BATCH-1072,2026-05-03,Turmeric,Center-A,5749,438,5311,21900
HS-BATCH-1073,2026-05-04,Ginger,Center-C,5415,663,4752,26520
HS-BATCH-1074,2026-05-04,Turmeric,Center-C,2573,217,2356,10850
HS-BATCH-1075,2026-05-04,Ginger,Center-A,2828,326,2502,13040
HS-BATCH-1076,2026-05-04,Turmeric,Center-B,2917,243,2674,12150
HS-BATCH-1077,2026-05-04,Nutraceutical Base,Center-A,5234,318,4916,39750
HS-BATCH-1078,2026-05-04,Nutraceutical Base,Center-C,3026,182,2844,22750
HS-BATCH-1079,2026-05-04,Herbal Extract,Center-C,4744,686,4058,102900
HS-BATCH-1080,2026-05-04,Nutraceutical Base,Center-B,1901,118,1783,14750
HS-BATCH-1081,2026-05-04,Herbal Extract,Center-C,5785,730,5055,109500
HS-BATCH-1082,2026-05-04,Nutraceutical Base,Center-A,3039,201,2838,25125
HS-BATCH-1083,2026-05-04,Ginger,Center-B,1009,124,885,4960
HS-BATCH-1084,2026-05-04,Nutraceutical Base,Center-A,1260,51,1209,6375
HS-BATCH-1085,2026-05-04,Herbal Extract,Center-A,2673,409,2264,61350
HS-BATCH-1086,2026-05-04,Herbal Extract,Center-B,3219,402,2817,60300
HS-BATCH-1087,2026-05-04,Turmeric,Center-A,3060,194,2866,9700
HS-BATCH-1088,2026-05-04,Ginger,Center-C,4713,552,4161,22080
HS-BATCH-1089,2026-05-04,Nutraceutical Base,Center-A,2619,117,2502,14625
HS-BATCH-1090,2026-05-04,Turmeric,Center-B,1320,109,1211,5450
HS-BATCH-1091,2026-05-04,Nutraceutical Base,Center-B,2342,152,2190,19000
HS-BATCH-1092,2026-05-04,Nutraceutical Base,Center-B,3376,186,3190,23250
HS-BATCH-1093,2026-05-04,Turmeric,Center-A,3832,192,3640,9600
HS-BATCH-1094,2026-05-04,Turmeric,Center-B,3824,235,3589,11750
HS-BATCH-1095,2026-05-04,Turmeric,Center-B,2994,223,2771,11150
HS-BATCH-1096,2026-05-04,Turmeric,Center-A,3958,353,3605,17650
HS-BATCH-1097,2026-05-05,Turmeric,Center-C,3038,228,2810,11400
HS-BATCH-1098,2026-05-05,Nutraceutical Base,Center-A,4490,214,4276,26750
HS-BATCH-1099,2026-05-05,Turmeric,Center-B,4677,352,4325,17600
HS-BATCH-1100,2026-05-05,Ginger,Center-B,2118,226,1892,9040
HS-BATCH-1101,2026-05-05,Herbal Extract,Center-A,2604,393,2211,58950
HS-BATCH-1102,2026-05-05,Turmeric,Center-C,5027,272,4755,13600
HS-BATCH-1103,2026-05-05,Turmeric,Center-B,1235,99,1136,4950
HS-BATCH-1104,2026-05-05,Nutraceutical Base,Center-B,2969,166,2803,20750
HS-BATCH-1105,2026-05-05,Turmeric,Center-B,5429,480,4949,24000
HS-BATCH-1106,2026-05-05,Turmeric,Center-A,2908,185,2723,9250
HS-BATCH-1107,2026-05-05,Turmeric,Center-B,1375,103,1272,5150
HS-BATCH-1108,2026-05-05,Nutraceutical Base,Center-C,4530,307,4223,38375
HS-BATCH-1109,2026-05-05,Turmeric,Center-B,3635,196,3439,9800
HS-BATCH-1110,2026-05-05,Herbal Extract,Center-B,2570,404,2166,60600
HS-BATCH-1111,2026-05-05,Nutraceutical Base,Center-C,3560,215,3345,26875
HS-BATCH-1112,2026-05-05,Herbal Extract,Center-B,4391,538,3853,80700
HS-BATCH-1113,2026-05-05,Nutraceutical Base,Center-A,3965,194,3771,24250
HS-BATCH-1114,2026-05-05,Turmeric,Center-A,4643,363,4280,18150
HS-BATCH-1115,2026-05-05,Herbal Extract,Center-A,4850,595,4255,89250
HS-BATCH-1116,2026-05-05,Nutraceutical Base,Center-C,1872,107,1765,13375
HS-BATCH-1117,2026-05-05,Ginger,Center-B,2252,219,2033,8760
HS-BATCH-1118,2026-05-05,Turmeric,Center-A,2314,173,2141,8650
HS-BATCH-1119,2026-05-05,Nutraceutical Base,Center-C,5820,240,5580,30000
HS-BATCH-1120,2026-05-05,Ginger,Center-B,3898,481,3417,19240
HS-BATCH-1121,2026-05-06,Nutraceutical Base,Center-C,1077,74,1003,9250
HS-BATCH-1122,2026-05-06,Ginger,Center-A,3621,465,3156,18600
HS-BATCH-1123,2026-05-06,Turmeric,Center-A,5227,418,4809,20900
HS-BATCH-1124,2026-05-06,Herbal Extract,Center-A,1600,200,1400,30000
HS-BATCH-1125,2026-05-06,Ginger,Center-C,2065,243,1822,9720
HS-BATCH-1126,2026-05-06,Nutraceutical Base,Center-C,3136,127,3009,15875
HS-BATCH-1127,2026-05-06,Turmeric,Center-A,3449,175,3274,8750
HS-BATCH-1128,2026-05-06,Ginger,Center-C,3343,321,3022,12840
HS-BATCH-1129,2026-05-06,Nutraceutical Base,Center-A,2863,156,2707,19500
HS-BATCH-1130,2026-05-06,Nutraceutical Base,Center-A,2318,146,2172,18250
HS-BATCH-1131,2026-05-06,Nutraceutical Base,Center-B,5711,345,5366,43125
HS-BATCH-1132,2026-05-06,Ginger,Center-C,4597,470,4127,18800
HS-BATCH-1133,2026-05-06,Ginger,Center-A,4762,446,4316,17840
HS-BATCH-1134,2026-05-06,Ginger,Center-A,5670,736,4934,29440
HS-BATCH-1135,2026-05-06,Herbal Extract,Center-C,3190,437,2753,65550
HS-BATCH-1136,2026-05-06,Ginger,Center-B,1992,204,1788,8160
HS-BATCH-1137,2026-05-06,Ginger,Center-B,3712,327,3385,13080
HS-BATCH-1138,2026-05-06,Ginger,Center-A,3192,382,2810,15280
HS-BATCH-1139,2026-05-06,Herbal Extract,Center-C,2248,332,1916,49800
HS-BATCH-1140,2026-05-06,Ginger,Center-B,4054,369,3685,14760
HS-BATCH-1141,2026-05-06,Nutraceutical Base,Center-C,5598,237,5361,29625
HS-BATCH-1142,2026-05-06,Ginger,Center-C,5033,573,4460,22920
HS-BATCH-1143,2026-05-06,Nutraceutical Base,Center-A,2997,178,2819,22250
HS-BATCH-1144,2026-05-06,Nutraceutical Base,Center-B,5916,285,5631,35625
HS-BATCH-1145,2026-05-07,Nutraceutical Base,Center-A,4687,321,4366,40125
HS-BATCH-1146,2026-05-07,Herbal Extract,Center-B,3151,397,2754,59550
HS-BATCH-1147,2026-05-07,Herbal Extract,Center-B,5018,688,4330,103200
HS-BATCH-1148,2026-05-07,Herbal Extract,Center-B,4110,648,3462,97200
HS-BATCH-1149,2026-05-07,Ginger,Center-B,2970,299,2671,11960
HS-BATCH-1150,2026-05-07,Nutraceutical Base,Center-B,1197,70,1127,8750
HS-BATCH-1151,2026-05-07,Herbal Extract,Center-C,3626,492,3134,73800
HS-BATCH-1152,2026-05-07,Herbal Extract,Center-A,2202,288,1914,43200
HS-BATCH-1153,2026-05-07,Ginger,Center-C,3035,392,2643,15680
HS-BATCH-1154,2026-05-07,Herbal Extract,Center-B,1477,201,1276,30150
HS-BATCH-1155,2026-05-07,Ginger,Center-A,2254,281,1973,11240
HS-BATCH-1156,2026-05-07,Turmeric,Center-B,1922,113,1809,5650
HS-BATCH-1157,2026-05-07,Herbal Extract,Center-A,1419,182,1237,27300
HS-BATCH-1158,2026-05-07,Turmeric,Center-C,3204,164,3040,8200
HS-BATCH-1159,2026-05-07,Ginger,Center-A,3597,404,3193,16160
HS-BATCH-1160,2026-05-07,Nutraceutical Base,Center-A,2120,108,2012,13500
HS-BATCH-1161,2026-05-07,Herbal Extract,Center-A,4068,628,3440,94200
HS-BATCH-1162,2026-05-07,Ginger,Center-A,1950,202,1748,8080
HS-BATCH-1163,2026-05-07,Nutraceutical Base,Center-A,3336,230,3106,28750
HS-BATCH-1164,2026-05-07,Nutraceutical Base,Center-B,3243,147,3096,18375
HS-BATCH-1165,2026-05-07,Turmeric,Center-A,3645,308,3337,15400
HS-BATCH-1166,2026-05-07,Ginger,Center-A,2857,339,2518,13560
HS-BATCH-1167,2026-05-07,Nutraceutical Base,Center-C,5612,354,5258,44250
HS-BATCH-1168,2026-05-07,Herbal Extract,Center-A,2865,440,2425,66000
HS-BATCH-1169,2026-05-08,Herbal Extract,Center-C,3912,588,3324,88200
HS-BATCH-1170,2026-05-08,Turmeric,Center-B,3853,289,3564,14450
HS-BATCH-1171,2026-05-08,Nutraceutical Base,Center-A,5910,259,5651,32375
HS-BATCH-1172,2026-05-08,Ginger,Center-C,4228,345,3883,13800
HS-BATCH-1173,2026-05-08,Herbal Extract,Center-C,4719,740,3979,111000
HS-BATCH-1174,2026-05-08,Nutraceutical Base,Center-B,4228,247,3981,30875
HS-BATCH-1175,2026-05-08,Nutraceutical Base,Center-A,3371,215,3156,26875
HS-BATCH-1176,2026-05-08,Turmeric,Center-A,3891,269,3622,13450
HS-BATCH-1177,2026-05-08,Herbal Extract,Center-C,4756,593,4163,88950
HS-BATCH-1178,2026-05-08,Herbal Extract,Center-A,5225,653,4572,97950
HS-BATCH-1179,2026-05-08,Ginger,Center-C,1094,125,969,5000
HS-BATCH-1180,2026-05-08,Herbal Extract,Center-A,3674,504,3170,75600
HS-BATCH-1181,2026-05-08,Ginger,Center-C,2955,266,2689,10640
HS-BATCH-1182,2026-05-08,Herbal Extract,Center-A,1793,250,1543,37500
HS-BATCH-1183,2026-05-08,Turmeric,Center-B,2834,148,2686,7400
HS-BATCH-1184,2026-05-08,Herbal Extract,Center-A,3116,446,2670,66900
HS-BATCH-1185,2026-05-08,Ginger,Center-A,5106,477,4629,19080
HS-BATCH-1186,2026-05-08,Ginger,Center-B,4325,518,3807,20720
HS-BATCH-1187,2026-05-08,Turmeric,Center-A,3919,244,3675,12200
HS-BATCH-1188,2026-05-08,Herbal Extract,Center-B,3597,497,3100,74550
HS-BATCH-1189,2026-05-08,Herbal Extract,Center-A,4205,506,3699,75900
HS-BATCH-1190,2026-05-08,Turmeric,Center-C,5807,307,5500,15350
HS-BATCH-1191,2026-05-08,Herbal Extract,Center-C,1814,246,1568,36900
HS-BATCH-1192,2026-05-08,Herbal Extract,Center-A,1345,187,1158,28050
HS-BATCH-1193,2026-05-09,Ginger,Center-A,3349,368,2981,14720
HS-BATCH-1194,2026-05-09,Herbal Extract,Center-A,1362,179,1183,26850
HS-BATCH-1195,2026-05-09,Herbal Extract,Center-C,3443,508,2935,76200
HS-BATCH-1196,2026-05-09,Turmeric,Center-A,3265,275,2990,13750
HS-BATCH-1197,2026-05-09,Turmeric,Center-C,3188,258,2930,12900
HS-BATCH-1198,2026-05-09,Nutraceutical Base,Center-B,4005,164,3841,20500
HS-BATCH-1199,2026-05-09,Ginger,Center-C,4281,445,3836,17800
HS-BATCH-1200,2026-05-09,Herbal Extract,Center-C,1984,246,1738,36900
HS-BATCH-1201,2026-05-09,Herbal Extract,Center-B,2639,342,2297,51300
HS-BATCH-1202,2026-05-09,Nutraceutical Base,Center-C,1827,127,1700,15875
HS-BATCH-1203,2026-05-09,Herbal Extract,Center-A,3730,468,3262,70200
HS-BATCH-1204,2026-05-09,Ginger,Center-A,4531,475,4056,19000
HS-BATCH-1205,2026-05-09,Nutraceutical Base,Center-C,5451,319,5132,39875
HS-BATCH-1206,2026-05-09,Ginger,Center-A,3935,453,3482,18120
HS-BATCH-1207,2026-05-09,Nutraceutical Base,Center-C,4876,276,4600,34500
HS-BATCH-1208,2026-05-09,Nutraceutical Base,Center-A,1126,45,1081,5625
HS-BATCH-1209,2026-05-09,Turmeric,Center-A,4177,263,3914,13150
HS-BATCH-1210,2026-05-09,Ginger,Center-C,4056,429,3627,17160
HS-BATCH-1211,2026-05-09,Herbal Extract,Center-A,1603,197,1406,29550
HS-BATCH-1212,2026-05-09,Herbal Extract,Center-C,4449,596,3853,89400
HS-BATCH-1213,2026-05-09,Ginger,Center-A,5146,420,4726,16800
HS-BATCH-1214,2026-05-09,Herbal Extract,Center-A,4533,558,3975,83700
HS-BATCH-1215,2026-05-09,Herbal Extract,Center-B,4367,593,3774,88950
HS-BATCH-1216,2026-05-09,Ginger,Center-B,4368,378,3990,15120
HS-BATCH-1217,2026-05-10,Nutraceutical Base,Center-C,4797,273,4524,34125
HS-BATCH-1218,2026-05-10,Ginger,Center-B,2792,319,2473,12760
HS-BATCH-1219,2026-05-10,Nutraceutical Base,Center-C,3861,247,3614,30875
HS-BATCH-1220,2026-05-10,Herbal Extract,Center-B,4476,572,3904,85800
HS-BATCH-1221,2026-05-10,Herbal Extract,Center-A,4417,559,3858,83850
HS-BATCH-1222,2026-05-10,Herbal Extract,Center-C,2645,328,2317,49200
HS-BATCH-1223,2026-05-10,Turmeric,Center-C,2205,166,2039,8300
HS-BATCH-1224,2026-05-10,Nutraceutical Base,Center-A,4030,246,3784,30750
HS-BATCH-1225,2026-05-10,Turmeric,Center-C,3872,198,3674,9900
HS-BATCH-1226,2026-05-10,Turmeric,Center-C,4072,356,3716,17800
HS-BATCH-1227,2026-05-10,Ginger,Center-B,2854,235,2619,9400
HS-BATCH-1228,2026-05-10,Turmeric,Center-C,5021,359,4662,17950
HS-BATCH-1229,2026-05-10,Ginger,Center-A,5662,653,5009,26120
HS-BATCH-1230,2026-05-10,Ginger,Center-B,3708,458,3250,18320
HS-BATCH-1231,2026-05-10,Turmeric,Center-B,4502,353,4149,17650
HS-BATCH-1232,2026-05-10,Nutraceutical Base,Center-A,2332,149,2183,18625
HS-BATCH-1233,2026-05-10,Nutraceutical Base,Center-A,1201,60,1141,7500
HS-BATCH-1234,2026-05-10,Nutraceutical Base,Center-B,4507,290,4217,36250
HS-BATCH-1235,2026-05-10,Nutraceutical Base,Center-C,5212,221,4991,27625
HS-BATCH-1236,2026-05-10,Nutraceutical Base,Center-B,1574,105,1469,13125
HS-BATCH-1237,2026-05-10,Turmeric,Center-A,1536,110,1426,5500
HS-BATCH-1238,2026-05-10,Turmeric,Center-B,2625,217,2408,10850
HS-BATCH-1239,2026-05-10,Herbal Extract,Center-A,3122,431,2691,64650
HS-BATCH-1240,2026-05-10,Nutraceutical Base,Center-B,1385,82,1303,10250
HS-BATCH-1241,2026-05-11,Turmeric,Center-C,4281,304,3977,15200
HS-BATCH-1242,2026-05-11,Herbal Extract,Center-B,1474,220,1254,33000
HS-BATCH-1243,2026-05-11,Nutraceutical Base,Center-B,1417,60,1357,7500
HS-BATCH-1244,2026-05-11,Ginger,Center-A,4600,381,4219,15240
HS-BATCH-1245,2026-05-11,Herbal Extract,Center-A,1954,253,1701,37950
HS-BATCH-1246,2026-05-11,Turmeric,Center-A,5971,336,5635,16800
HS-BATCH-1247,2026-05-11,Ginger,Center-B,5858,723,5135,28920
HS-BATCH-1248,2026-05-11,Ginger,Center-C,2205,200,2005,8000
HS-BATCH-1249,2026-05-11,Ginger,Center-A,5759,741,5018,29640
HS-BATCH-1250,2026-05-11,Herbal Extract,Center-A,5120,683,4437,102450
HS-BATCH-1251,2026-05-11,Turmeric,Center-B,2990,171,2819,8550
HS-BATCH-1252,2026-05-11,Ginger,Center-A,5805,693,5112,27720
HS-BATCH-1253,2026-05-11,Nutraceutical Base,Center-C,4572,273,4299,34125
HS-BATCH-1254,2026-05-11,Ginger,Center-C,5380,564,4816,22560
HS-BATCH-1255,2026-05-11,Ginger,Center-A,5158,555,4603,22200
HS-BATCH-1256,2026-05-11,Herbal Extract,Center-A,5757,856,4901,128400
HS-BATCH-1257,2026-05-11,Herbal Extract,Center-B,3713,479,3234,71850
HS-BATCH-1258,2026-05-11,Turmeric,Center-C,3203,287,2916,14350
HS-BATCH-1259,2026-05-11,Nutraceutical Base,Center-C,4120,285,3835,35625
HS-BATCH-1260,2026-05-11,Herbal Extract,Center-A,1966,287,1679,43050
HS-BATCH-1261,2026-05-11,Ginger,Center-B,5944,534,5410,21360
HS-BATCH-1262,2026-05-11,Turmeric,Center-C,4432,342,4090,17100
HS-BATCH-1263,2026-05-11,Ginger,Center-C,1688,141,1547,5640
HS-BATCH-1264,2026-05-11,Ginger,Center-B,5243,427,4816,17080
HS-BATCH-1265,2026-05-12,Herbal Extract,Center-B,4701,612,4089,91800
HS-BATCH-1266,2026-05-12,Turmeric,Center-C,1341,91,1250,4550
HS-BATCH-1267,2026-05-12,Nutraceutical Base,Center-C,2724,179,2545,22375
HS-BATCH-1268,2026-05-12,Nutraceutical Base,Center-B,5422,335,5087,41875
HS-BATCH-1269,2026-05-12,Herbal Extract,Center-C,2792,417,2375,62550
HS-BATCH-1270,2026-05-12,Herbal Extract,Center-A,2759,378,2381,56700
HS-BATCH-1271,2026-05-12,Turmeric,Center-A,4212,268,3944,13400
HS-BATCH-1272,2026-05-12,Nutraceutical Base,Center-B,1989,101,1888,12625
HS-BATCH-1273,2026-05-12,Nutraceutical Base,Center-B,3262,227,3035,28375
HS-BATCH-1274,2026-05-12,Nutraceutical Base,Center-B,3482,143,3339,17875
HS-BATCH-1275,2026-05-12,Ginger,Center-A,1951,240,1711,9600
HS-BATCH-1276,2026-05-12,Nutraceutical Base,Center-C,1722,98,1624,12250
HS-BATCH-1277,2026-05-12,Ginger,Center-A,4389,447,3942,17880
HS-BATCH-1278,2026-05-12,Turmeric,Center-C,3079,243,2836,12150
HS-BATCH-1279,2026-05-12,Ginger,Center-A,3717,387,3330,15480
HS-BATCH-1280,2026-05-12,Turmeric,Center-C,3332,283,3049,14150
HS-BATCH-1281,2026-05-12,Nutraceutical Base,Center-A,4376,293,4083,36625
HS-BATCH-1282,2026-05-12,Nutraceutical Base,Center-B,5524,290,5234,36250
HS-BATCH-1283,2026-05-12,Turmeric,Center-A,2500,152,2348,7600
HS-BATCH-1284,2026-05-12,Herbal Extract,Center-C,1285,184,1101,27600
HS-BATCH-1285,2026-05-12,Turmeric,Center-A,4495,388,4107,19400
HS-BATCH-1286,2026-05-12,Herbal Extract,Center-A,3065,393,2672,58950
HS-BATCH-1287,2026-05-12,Ginger,Center-A,1768,196,1572,7840
HS-BATCH-1288,2026-05-12,Ginger,Center-B,4057,452,3605,18080
HS-BATCH-1289,2026-05-13,Ginger,Center-A,5289,616,4673,24640
HS-BATCH-1290,2026-05-13,Nutraceutical Base,Center-B,3161,138,3023,17250
HS-BATCH-1291,2026-05-13,Ginger,Center-B,4293,497,3796,19880
HS-BATCH-1292,2026-05-13,Herbal Extract,Center-A,1946,304,1642,45600
HS-BATCH-1293,2026-05-13,Ginger,Center-A,5926,527,5399,21080
HS-BATCH-1294,2026-05-13,Turmeric,Center-A,4335,257,4078,12850
HS-BATCH-1295,2026-05-13,Turmeric,Center-C,5150,457,4693,22850
HS-BATCH-1296,2026-05-13,Nutraceutical Base,Center-A,5895,267,5628,33375
HS-BATCH-1297,2026-05-13,Turmeric,Center-B,5873,494,5379,24700
HS-BATCH-1298,2026-05-13,Herbal Extract,Center-A,2481,346,2135,51900
HS-BATCH-1299,2026-05-13,Ginger,Center-C,2901,267,2634,10680
HS-BATCH-1300,2026-05-13,Nutraceutical Base,Center-A,4451,294,4157,36750
HS-BATCH-1301,2026-05-13,Ginger,Center-C,5064,517,4547,20680
HS-BATCH-1302,2026-05-13,Ginger,Center-C,1054,111,943,4440
HS-BATCH-1303,2026-05-13,Herbal Extract,Center-A,2823,379,2444,56850
HS-BATCH-1304,2026-05-13,Turmeric,Center-B,4462,328,4134,16400
HS-BATCH-1305,2026-05-13,Turmeric,Center-C,4079,230,3849,11500
HS-BATCH-1306,2026-05-13,Ginger,Center-A,1832,182,1650,7280
HS-BATCH-1307,2026-05-13,Nutraceutical Base,Center-A,5408,373,5035,46625
HS-BATCH-1308,2026-05-13,Turmeric,Center-B,3806,229,3577,11450
HS-BATCH-1309,2026-05-13,Nutraceutical Base,Center-C,3490,208,3282,26000
HS-BATCH-1310,2026-05-13,Turmeric,Center-C,1327,83,1244,4150
HS-BATCH-1311,2026-05-13,Nutraceutical Base,Center-A,4310,272,4038,34000
HS-BATCH-1312,2026-05-13,Herbal Extract,Center-A,4300,538,3762,80700
HS-BATCH-1313,2026-05-14,Nutraceutical Base,Center-B,4675,323,4352,40375
HS-BATCH-1314,2026-05-14,Herbal Extract,Center-B,4054,560,3494,84000
HS-BATCH-1315,2026-05-14,Herbal Extract,Center-C,3143,406,2737,60900
HS-BATCH-1316,2026-05-14,Nutraceutical Base,Center-C,2311,97,2214,12125
HS-BATCH-1317,2026-05-14,Herbal Extract,Center-A,4191,531,3660,79650
HS-BATCH-1318,2026-05-14,Ginger,Center-C,3538,374,3164,14960
HS-BATCH-1319,2026-05-14,Herbal Extract,Center-B,4983,665,4318,99750
HS-BATCH-1320,2026-05-14,Turmeric,Center-B,5547,461,5086,23050
HS-BATCH-1321,2026-05-14,Nutraceutical Base,Center-A,1164,61,1103,7625
HS-BATCH-1322,2026-05-14,Ginger,Center-B,5277,487,4790,19480
HS-BATCH-1323,2026-05-14,Nutraceutical Base,Center-B,1822,106,1716,13250
HS-BATCH-1324,2026-05-14,Turmeric,Center-B,1943,152,1791,7600
HS-BATCH-1325,2026-05-14,Turmeric,Center-B,5425,307,5118,15350
HS-BATCH-1326,2026-05-14,Turmeric,Center-A,1774,100,1674,5000
HS-BATCH-1327,2026-05-14,Herbal Extract,Center-A,3198,388,2810,58200
HS-BATCH-1328,2026-05-14,Herbal Extract,Center-C,4156,621,3535,93150
HS-BATCH-1329,2026-05-14,Nutraceutical Base,Center-B,5242,314,4928,39250
HS-BATCH-1330,2026-05-14,Nutraceutical Base,Center-C,4695,254,4441,31750
HS-BATCH-1331,2026-05-14,Ginger,Center-A,4452,544,3908,21760
HS-BATCH-1332,2026-05-14,Ginger,Center-A,1914,230,1684,9200
HS-BATCH-1333,2026-05-14,Nutraceutical Base,Center-A,2308,132,2176,16500
HS-BATCH-1334,2026-05-14,Herbal Extract,Center-A,5177,801,4376,120150
HS-BATCH-1335,2026-05-14,Turmeric,Center-A,1513,88,1425,4400
